Date,Open,High,Low,Close,symbol,shortName,longName,financialCurrency,sector,currency,industry,country,market
2020-10-02 00:00:00,161.5509501718956,167.1402898185673,161.13836616626867,164.27194213867188,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-10-05 00:00:00,166.2070758328026,170.26402646594855,165.72575286878973,169.1736602783203,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-10-06 00:00:00,170.22475064477916,172.493902765848,167.739503786778,167.85739135742188,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-10-07 00:00:00,169.25225768505052,173.9084041410205,169.25225768505052,173.18150329589844,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-10-08 00:00:00,173.2797405371403,174.99878564163132,172.0322157390203,174.72373962402344,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-10-09 00:00:00,175.34259948704863,175.4801224949341,172.6707110576591,173.2797393798828,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-10-12 00:00:00,173.0145230986054,175.8435699249021,172.38584436066353,174.3209991455078,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-10-13 00:00:00,172.60194479255577,174.75319419411113,170.62748926160893,171.49192810058594,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-10-14 00:00:00,171.59999323192977,173.7021391798822,170.0675897357062,171.40353393554688,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-10-15 00:00:00,169.1147467177603,174.2129456587037,168.9575732848145,173.69232177734375,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-10-16 00:00:00,173.5744335806383,176.21685383056277,172.51353539541492,174.75320434570312,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
